"NAME" "SEASON" "GAME_NUM" "DATE" "TEAM" "OPP" "THREE_PT" "THREE_PT_ATTEMPT" "THREE_PT_PCT"
"Stephen Curry" "12-13" 60 "2013-03-09" "GSW" "MIL" 2 6 0
"Stephen Curry" "12-13" 61 "2013-03-11" "GSW" "NYK" 6 10 0
"Stephen Curry" "12-13" 62 "2013-03-13" "GSW" "DET" 5 7 0
"Stephen Curry" "12-13" 63 "2013-03-15" "GSW" "CHI" 0 5 0
"Stephen Curry" "12-13" 64 "2013-03-17" "GSW" "HOU" 5 11 0
"Stephen Curry" "12-13" 65 "2013-03-18" "GSW" "NOH" 6 9 0
"Stephen Curry" "12-13" 66 "2013-03-20" "GSW" "SAS" 4 8 0
"Stephen Curry" "12-13" 67 "2013-03-23" "GSW" "WAS" 6 10 0
"Stephen Curry" "12-13" 68 "2013-03-25" "GSW" "LAL" 3 9 0
"Stephen Curry" "12-13" 69 "2013-03-27" "GSW" "SAC" 2 9 0
"Stephen Curry" "12-13" 70 "2013-03-30" "GSW" "POR" 7 12 0
"Stephen Curry" "12-13" 71 "2013-04-03" "GSW" "NOH" 4 10 0
"Stephen Curry" "12-13" 72 "2013-04-05" "GSW" "PHO" 3 8 0
"Stephen Curry" "12-13" 73 "2013-04-07" "GSW" "UTA" 4 9 0
"Stephen Curry" "12-13" 74 "2013-04-09" "GSW" "MIN" 2 9 0
"Stephen Curry" "12-13" 75 "2013-04-11" "GSW" "OKC" 3 6 0
"Stephen Curry" "12-13" 76 "2013-04-12" "GSW" "LAL" 9 15 0
"Stephen Curry" "12-13" 77 "2013-04-15" "GSW" "SAS" 7 13 0
"Stephen Curry" "12-13" 78 "2013-04-17" "GSW" "POR" 4 11 0
"Stephen Curry" "13-14" 1 "2013-10-30" "GSW" "LAL" 2 5 0
"Stephen Curry" "13-14" 2 "2013-10-31" "GSW" "LAC" 9 14 0
"Stephen Curry" "13-14" 3 "2013-11-02" "GSW" "SAC" 5 8 0
"Stephen Curry" "13-14" 4 "2013-11-04" "GSW" "PHI" 2 9 0
"Stephen Curry" "13-14" 5 "2013-11-06" "GSW" "MIN" 0 3 0
"Stephen Curry" "13-14" 6 "2013-11-09" "GSW" "MEM" 4 10 0
